"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","RoleDescription"
2684850,"Advertising Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/6612849","N2","Bismarck","No","Not specified","Full time","2025-06-09T02:10:42.921726Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
We are seeking a new Advertising Manager for Stroll Magazine in your area to join our team. Stroll magazines contain hyper-local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents themselves. Your role will consist of meeting with business owners to sell advertising and meeting with homeowners to gather content. 
What You Will Do:

Meet with local business owners for a consultative meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the Stroll community.

What You Will Bring:
Our ideal candidate will have a professional, outgoing personality with an entrepreneurial mindset.
What You Will Love:
Though most of the day-to-day for an Advertising Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our Advertising Managers, known as Area Directors, do have prior sales or marketing communications experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped Potential
Flexible Schedules
Work From Home and in local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Director franchisees with one Stroll publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.#st_ad_mgr_3_28_25
#N2-G-LI #LI-Hybrid"
2885411,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6472408","N2","Park City, UT","No","Not specified","Full time","2025-06-09T02:10:42.921765Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 #gt_area_sls_dir_3_28_25
#LI-Hybrid"
2045757,"Account Manager","https://job-boards.greenhouse.io/n2alljobs/jobs/6490760","N2","Indianapolis","No","Not specified","Full time","2025-06-09T02:10:42.921802Z","As the nations leader in helping small to mid-sized businesses connect with new movers and locals, The N2 Company produces high-quality monthly magazines, targeted digital advertising, online media, and creative events.
We are seeking a new Account Manager for BeLocal Magazine to join our team. BeLocal magazines are the definitive community guide, delivered free of charge to new residents mailboxes and distributed in the community at large. The custom publications provide insights from locals about where to go and what to do in targeted areas across the country.
Businesses love what we do because they know new movers and residents in our hand-picked communities not only embrace their BeLocal guide, but the content comes from (and is written by) the readers too.
What You Will Do:

Meet with local business owners for a consultative meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the community served by their BeLocal guide.

What You Will Bring:
Our ideal candidate will have a professional, outgoing personality with an entrepreneurial mindset.
Why You'll Love Us:
Though most of the day-to-day for a BeLocal Account Manager revolves around sales-related activity, it is far from a traditional sales role. Many of our Account Managers, known as Area Directors, do have prior sales or marketing communications experience, but our unique low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people are driven and act more like business owners. 

Uncapped Income
Flexible Schedules
Work From Home and in your local community
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Director franchisees with one BeLocal publication is $128,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 9 publications (out of 90) in the 2023-2024 Reporting Period, was $128,106.00. Of this group, 4 (44%) earned a Commission payment that totaled the average or more, and 5 (56%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $123,308.00. The highest Commission earned was $197,624.00, and the lowest Commission earned was $97,651.00.
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.#bl_ad_mgr_3_28_25
#BL-G-LI #LI-Hybrid"
3077443,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952441","N2","Salinas,  CA","No","Not specified","Full time","2025-06-09T02:10:42.921873Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
#gt_ad_mgr_1_25"
3077442,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952427","N2","Mill Valley,  CA","No","Not specified","Full time","2025-06-09T02:10:42.921905Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25"
3077441,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952410","N2","Datyona Beach,  FL","No","Not specified","Full time","2025-06-09T02:10:42.921943Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25"
3077440,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952404","N2","Bar","No","Not specified","Full time","2025-06-09T02:10:42.921982Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25"
3077439,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952393","N2","Glenview,  IL","No","Not specified","Full time","2025-06-09T02:10:42.922021Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25"
3077438,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952389","N2","Houma,  LA","No","Not specified","Full time","2025-06-09T02:10:42.922062Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25"
3077437,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952374","N2","Kansas City","Yes","Not specified","Full time","2025-06-09T02:10:42.922101Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
We are seeking a new Area Sales Director for Greet Magazine in your area to join our team. in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:
An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.
Area Sales Director Will Love:
Though most of the day to day for a Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped Potential
Flexible Schedules
Work From Home and in local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000/year.*
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
 
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average.The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00.
#greetmag"
3077436,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952362","N2","Framingham,  MA","No","Not specified","Full time","2025-06-09T02:10:42.922142Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25"
3077435,"Area Sales Director","https://job-boards.greenhouse.io/n2alljobs/jobs/6952359","N2","Norwood,  MA","No","Not specified","Full time","2025-06-09T02:10:42.922182Z","As the nations leader in helping small to mid-sized businesses efficiently connect with affluent homeowners, The N2 Company produces high-quality monthly publications, targeted digital advertising, online media, and creative events.
Were seeking a new Area Sales Director for a Greet magazine in your area to join our team. Greet magazines contain local content for desirable, affluent communities and are appreciated by the readers because most of the content comes from (and is written by) the residents. Your role will consist of meeting with business owners to sell advertising and meeting with neighbors in the community to gather content. 
Area Sales Director Will:

Meet with local business owners for a consultative sales meeting to determine if a partnership with our communities is a mutual fit.
Develop meaningful relationships within the community through a proven model for engagement.
Connect local businesses with their ideal customers within the local Greet community.

Area Sales Director Will Bring:

An outgoing, goal-oriented professional with a strong work ethic and business owner mindset.

Area Sales Director Will Love:
Though most of the day to day for an Area Sales Director revolves around sales-related activity, its far from just a sales role. Many of our Area Sales Directors, known as Area Directors, may have prior sales or marketing / communications experience, but our unique, low-pressure sales approach combined with the other aspects of the opportunity mean our most successful people act more like business owners. We offer the following benefits:

Uncapped potential
Flexible schedules
Work from home and in person within your local market
Build equity by launching and running your own business
Award-winning company culture
Complete virtual training

The average commission for the top 10% of Area Directors with one publication is $166,000*.
More about The N2 Company:
For 20 years, The N2 Company has created opportunities for our people to work with others they actually like, where they're inspired to grow financially, relationally, and spiritually. This people-first mindset has led to rapid growth  we earned a spot on the Inc. 5000 eight years in a row  and a company culture recognized by the likes of Entrepreneur, Fortune, Newsweek, and Glassdoor. We help businesses connect with their ideal clients through 800 custom publications  and more launching every month. N2's portfolio of award-winning brands includes Stroll, Greet, Real Producers, BeLocal, Uniquely You, Salute, and Hyport Digital.
The average yearly Commission earned for the top 10%, 38 publications (out of 376) in the 2023-2024 Reporting Period was $166,174.00. Of this group, 13 (34%) earned a Commission payment that totaled the average or more, and 25 (66%) earned a Commission payment that totaled less than the average. The median Commission earned for this group was $147,005.00. The highest Commission earned was $308,319.00, and the lowest Commission earned was $122,759.00. 
Your financial results may differ from those stated above. Important assumptions and qualifiers relating to this information can be found in Item 19 of our October 11, 2024 franchise disclosure document.
 
#gt_area_sls_dir_3_28_25
#LI-Hybrid"
